"","Name","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"359","Mitch Garver",3000,-0.642,0.547,-0.651,-0.649,0.538,-2.657,1.343,3.999,0.116,0.1,0.01
"360","Pablo Sandoval",3000,-1.488,0.587,-1.498,-1.493,0.58,-3.576,0.822,4.398,0.116,0.051,0.011
"361","Avisail Garcia",3000,0.727,1.118,0.707,0.714,1.126,-2.929,4.888,7.817,0.116,0.06,0.02
"362","Jackie Bradley Jr.",3000,1.02,1.12,0.99,1.007,1.139,-2.755,5.214,7.969,0.116,0.038,0.02
"363","Rafael Ortega",3000,-0.817,0.71,-0.824,-0.823,0.708,-3.127,1.973,5.101,0.116,0.051,0.013
"364","Max Stassi",3000,-0.62,0.628,-0.645,-0.626,0.638,-2.684,2.306,4.99,0.116,0.058,0.011
"365","Andrew Benintendi",3000,0.231,0.985,0.224,0.222,0.981,-2.713,3.97,6.683,0.115,0.051,0.018
"366","Jose Iglesias",3000,-0.828,0.851,-0.845,-0.835,0.827,-3.429,2.274,5.703,0.115,0.006,0.016
"367","Brandon Crawford",3000,-0.047,0.982,-0.085,-0.059,0.968,-3.033,3.336,6.369,0.115,-0.009,0.018
"368","Jurickson Profar",3000,-1.075,0.648,-1.083,-1.082,0.648,-2.953,1.405,4.358,0.115,-0.033,0.012
"369","Kolten Wong",3000,-0.207,0.906,-0.234,-0.213,0.894,-3.404,3.323,6.727,0.115,0.117,0.017
"370","Rene Rivera",3000,-0.909,0.696,-0.914,-0.917,0.717,-3.408,1.782,5.19,0.115,-0.039,0.013
"371","Miguel Cabrera",3000,1.252,1.071,1.236,1.239,1.061,-2.053,5.248,7.301,0.114,-0.032,0.02
"372","Clint Frazier",3000,-0.615,0.608,-0.633,-0.623,0.601,-2.507,1.334,3.841,0.114,-0.125,0.011
"373","Dwight Smith Jr.",3000,-0.493,0.577,-0.503,-0.5,0.579,-2.36,1.679,4.039,0.114,-0.02,0.011
"374","Ronald Guzman",3000,-0.594,0.662,-0.615,-0.601,0.649,-2.65,2.335,4.985,0.114,0.074,0.012
"375","Alex Blandino",3000,-0.391,0.676,-0.417,-0.4,0.665,-2.728,2.467,5.196,0.114,0.235,0.012
"376","Jeimer Candelario",3000,-0.713,0.617,-0.734,-0.721,0.615,-2.816,1.638,4.454,0.114,0.023,0.011
"377","Daniel Castro",3000,-1.172,0.577,-1.184,-1.178,0.565,-3.375,1.261,4.636,0.114,0.12,0.011
"378","Reese McGuire",3000,-0.423,0.658,-0.425,-0.428,0.651,-2.556,2.475,5.031,0.113,0.17,0.012
"379","Miguel Gomez",3000,-0.566,0.505,-0.576,-0.572,0.509,-2.084,1.2,3.284,0.113,-0.096,0.009
"380","Garrett Cooper",3000,-0.309,0.645,-0.314,-0.317,0.639,-2.529,1.886,4.414,0.113,-0.154,0.012
"381","Adolis Garcia",3000,-0.287,0.681,-0.283,-0.294,0.693,-2.422,2.744,5.165,0.113,0.021,0.012
"382","Richard Urena",3000,-0.626,0.547,-0.645,-0.634,0.536,-2.525,1.26,3.785,0.112,-0.075,0.01
"383","Eugenio Suarez",3000,0.268,1.082,0.231,0.257,1.054,-3.039,4.371,7.41,0.112,0.025,0.02
"384","Robbie Grossman",3000,-0.577,0.802,-0.602,-0.586,0.804,-3.904,2.945,6.849,0.112,0.12,0.015
"385","Yadier Molina",3000,-0.275,0.873,-0.284,-0.282,0.855,-3.009,3.639,6.648,0.112,0.131,0.016
"386","Yolmer Sanchez",3000,-0.51,1.084,-0.513,-0.524,1.077,-4.124,3.511,7.635,0.112,0.064,0.02
"387","Ichiro Suzuki",3000,-0.599,0.625,-0.605,-0.605,0.639,-2.455,1.863,4.319,0.112,-0.016,0.011
"388","Jose Altuve",3000,5.504,1.541,5.471,5.485,1.532,0.556,10.543,9.987,0.111,-0.108,0.028
"389","Whit Merrifield",3000,-0.1,1.037,-0.106,-0.111,1.028,-3.939,3.464,7.403,0.111,-0.054,0.019
"390","Paul Goldschmidt",3000,2.256,1.16,2.245,2.245,1.165,-1.498,6.378,7.875,0.111,-0.034,0.021
"391","Albert Almora Jr.",3000,-0.438,0.784,-0.462,-0.446,0.804,-2.873,2.484,5.357,0.111,-0.066,0.014
"392","Dixon Machado",3000,-0.885,0.604,-0.893,-0.892,0.615,-2.805,1.346,4.151,0.111,-0.102,0.011
"393","Jason Castro",3000,-0.773,0.819,-0.788,-0.781,0.816,-3.308,2.184,5.493,0.111,0.003,0.015
"394","Ryan Cordell",3000,-0.33,0.677,-0.337,-0.338,0.669,-2.385,2.035,4.42,0.111,-0.016,0.012
"395","Trea Turner",3000,0.076,0.96,0.044,0.066,0.959,-3.064,3.442,6.506,0.11,-0.089,0.018
"396","Manuel Margot",3000,-0.727,0.746,-0.742,-0.735,0.764,-3.051,1.961,5.012,0.11,-0.04,0.014
"397","Spencer Kieboom",3000,0.491,0.8,0.496,0.486,0.789,-1.817,3.85,5.667,0.11,-0.071,0.015
"398","Wilmer Difo",3000,-0.576,0.757,-0.585,-0.583,0.741,-3.357,2.005,5.363,0.11,0.042,0.014
"399","Juan Soto",3000,-0.435,0.684,-0.453,-0.442,0.685,-2.528,2.09,4.618,0.109,-0.133,0.012
"400","Brock Holt",3000,-0.876,0.677,-0.883,-0.883,0.692,-3.029,2.258,5.287,0.109,-0.133,0.012
"401","Kevin Kiermaier",3000,-0.249,0.902,-0.276,-0.258,0.881,-3.376,3.492,6.867,0.109,0.121,0.016
"402","Bobby Wilson",3000,-1.193,0.678,-1.211,-1.199,0.678,-3.477,1.361,4.838,0.109,0.089,0.012
"403","Edwin Encarnacion",3000,3.694,1.296,3.66,3.681,1.256,-0.579,8.033,8.613,0.108,0.011,0.024
"404","Lonnie Chisenhall",3000,-0.627,0.737,-0.648,-0.635,0.72,-3.209,2.069,5.279,0.107,0.148,0.013
"405","Erik Gonzalez",3000,-0.86,0.64,-0.863,-0.864,0.642,-2.79,1.759,4.549,0.107,0.089,0.012
"406","Jose Briceno",3000,-0.324,0.658,-0.341,-0.33,0.65,-2.315,1.953,4.268,0.107,-0.034,0.012
"407","Max Kepler",3000,-1.068,0.821,-1.075,-1.075,0.808,-4.017,2.121,6.138,0.107,0.179,0.015
"408","Christian Vazquez",3000,-1.002,0.67,-1.019,-1.009,0.68,-3.21,1.553,4.762,0.107,-0.004,0.012
"409","Chris Young",3000,0.254,0.835,0.21,0.246,0.849,-2.472,3.156,5.628,0.107,-0.101,0.015
"410","Aramis Garcia",3000,-0.299,0.668,-0.304,-0.305,0.669,-2.609,2.127,4.736,0.106,-0.023,0.012
"411","Cesar Hernandez",3000,1.137,1.235,1.095,1.125,1.219,-2.747,6.449,9.196,0.106,0.025,0.023
"412","Hunter Pence",3000,-0.192,0.925,-0.194,-0.203,0.963,-3.063,3.116,6.179,0.106,-0.194,0.017
"413","Kyle Seager",3000,4.831,1.487,4.813,4.819,1.486,-0.15,11.05,11.2,0.106,0.226,0.027
"414","Brian McCann",3000,1.234,1.138,1.231,1.221,1.119,-2.564,5.452,8.016,0.106,0.06,0.021
"415","Jon Jay",3000,-0.898,0.879,-0.913,-0.911,0.89,-3.849,2.4,6.248,0.105,0.019,0.016
"416","Ehire Adrianza",3000,-0.853,0.727,-0.866,-0.86,0.721,-3.212,1.786,4.998,0.105,0.114,0.013
"417","Rhys Hoskins",3000,0.252,0.811,0.241,0.246,0.819,-2.064,3.538,5.602,0.105,-0.145,0.015
"418","Hunter Dozier",3000,-0.693,0.559,-0.692,-0.698,0.56,-2.634,1.424,4.058,0.105,0.134,0.01
"419","Greg Bird",3000,-0.128,0.748,-0.155,-0.135,0.749,-3.041,3.176,6.217,0.105,0.12,0.014
"420","Yangervis Solarte",3000,-0.021,0.893,-0.05,-0.031,0.881,-3.222,3.285,6.507,0.104,0.046,0.016
"421","Ildemaro Vargas",3000,-0.693,0.512,-0.705,-0.697,0.522,-2.515,1.194,3.709,0.104,0.052,0.009
"422","Adrian Beltre",3000,-0.001,0.847,-0.025,-0.01,0.858,-2.654,2.766,5.42,0.103,-0.172,0.015
"423","Jose Abreu",3000,3.929,1.457,3.898,3.918,1.422,-1.696,9.874,11.57,0.103,0.232,0.027
"424","Harrison Bader",3000,-0.582,0.671,-0.584,-0.589,0.682,-2.72,1.747,4.468,0.103,-0.057,0.012
"425","Francisco Cervelli",3000,-0.505,0.787,-0.508,-0.514,0.77,-3.398,2.273,5.671,0.103,0.206,0.014
"426","Ben Zobrist",3000,0.529,0.983,0.514,0.519,0.972,-2.549,3.985,6.534,0.102,0.049,0.018
"427","Nick Markakis",3000,-0.61,0.886,-0.638,-0.618,0.877,-3.538,2.88,6.418,0.102,0.036,0.016
"428","Alen Hanson",3000,-0.881,0.631,-0.882,-0.887,0.626,-3.002,1.463,4.464,0.101,0.005,0.012
"429","Rafael Devers",3000,-0.545,0.774,-0.547,-0.553,0.786,-2.751,2.25,5.001,0.101,-0.097,0.014
"430","Rosell Herrera",3000,-0.4,0.676,-0.402,-0.408,0.689,-2.807,2.201,5.008,0.101,-0.001,0.012
"431","Neil Walker",3000,0.596,0.986,0.569,0.589,1.002,-3.017,4.267,7.284,0.101,-0.046,0.018
"432","Matt Olson",3000,-0.426,0.719,-0.437,-0.434,0.725,-2.77,1.994,4.763,0.1,-0.027,0.013
"433","Matt Adams",3000,0.235,0.905,0.228,0.224,0.923,-3.009,3.311,6.321,0.1,-0.103,0.017
"434","Kyle Schwarber",3000,0.331,0.965,0.303,0.323,0.941,-2.944,3.573,6.517,0.1,0.09,0.018
"435","Kevin Newman",3000,-0.306,0.669,-0.333,-0.314,0.677,-2.426,2.014,4.44,0.1,-0.085,0.012
"436","Ramon Torres",3000,-0.624,0.542,-0.633,-0.63,0.539,-2.758,1.264,4.022,0.1,-0.003,0.01
"437","Lourdes Gurriel Jr.",3000,-0.397,0.676,-0.416,-0.403,0.674,-2.641,2.115,4.756,0.099,0.024,0.012
"438","Marcus Semien",3000,-0.626,0.813,-0.635,-0.635,0.81,-3.149,2.16,5.309,0.099,-0.084,0.015
"439","Curtis Granderson",3000,0.685,0.984,0.675,0.678,0.986,-2.329,5.071,7.4,0.098,0.013,0.018
"440","Dominic Smith",3000,-0.578,0.641,-0.582,-0.584,0.654,-2.819,1.755,4.575,0.098,-0.071,0.012
"441","Aaron Hicks",3000,0.156,0.989,0.152,0.146,1.004,-3.28,4.195,7.475,0.097,0.054,0.018
"442","Matt Joyce",3000,1.537,1.161,1.508,1.527,1.203,-2.106,6.415,8.522,0.097,-0.172,0.021
"443","Andrew Toles",3000,-0.219,0.713,-0.222,-0.225,0.73,-2.717,2.645,5.362,0.096,-0.132,0.013
"444","Dansby Swanson",3000,-0.651,0.706,-0.682,-0.657,0.709,-2.988,1.936,4.924,0.095,0.054,0.013
"445","Asdrubal Cabrera",3000,0.448,1.032,0.457,0.441,1.011,-3.608,4.965,8.573,0.094,0.183,0.019
"446","Jace Peterson",3000,-0.685,0.696,-0.693,-0.691,0.713,-2.898,2.311,5.209,0.094,-0.086,0.013
"447","Aaron Altherr",3000,-0.169,0.915,-0.18,-0.175,0.9,-3.244,3.07,6.314,0.093,0.036,0.017
"448","Corey Seager",3000,3.157,1.213,3.145,3.145,1.239,-1.098,7.98,9.079,0.092,-0.132,0.022
"449","Wilmer Flores",3000,-0.135,0.78,-0.129,-0.142,0.777,-2.598,2.799,5.398,0.091,0.041,0.014
"450","Sandy Leon",3000,-1.009,0.753,-1.024,-1.018,0.748,-3.654,1.561,5.215,0.091,0.033,0.014
"451","Jose Martinez",3000,0.4,0.757,0.389,0.394,0.744,-2.029,3.368,5.397,0.09,0.029,0.014
"452","Mallex Smith",3000,-0.768,0.718,-0.775,-0.775,0.709,-3.142,1.967,5.109,0.09,0.023,0.013
"453","Scott Schebler",3000,1.006,1.107,1.011,0.997,1.103,-2.284,5.268,7.552,0.09,-0.066,0.02
"454","Joe Panik",3000,0.371,1.032,0.355,0.365,1.054,-2.841,4.208,7.049,0.09,-0.098,0.019
"455","Travis Shaw",3000,0.906,1.045,0.899,0.898,1.055,-2.127,5.299,7.426,0.09,0.02,0.019
"456","Matt Wieters",3000,-0.623,0.831,-0.648,-0.632,0.848,-3.848,2.034,5.882,0.09,-0.133,0.015
"457","Adrian Gonzalez",3000,-0.275,0.793,-0.275,-0.284,0.813,-2.89,2.785,5.675,0.09,-0.048,0.014
"458","Willie Calhoun",3000,-0.808,0.64,-0.814,-0.811,0.646,-2.938,1.961,4.899,0.09,0.007,0.012
"459","Logan Morrison",3000,0.749,1.036,0.732,0.742,1.003,-2.291,4.351,6.642,0.09,0.043,0.019
"460","Garrett Hampson",3000,-0.78,0.659,-0.779,-0.784,0.661,-2.941,1.805,4.746,0.089,0.041,0.012
"461","Tim Federowicz",3000,-0.516,0.597,-0.519,-0.519,0.608,-2.447,1.79,4.238,0.089,0.048,0.011
"462","Chris Gimenez",3000,-0.766,0.717,-0.768,-0.772,0.726,-3.029,1.706,4.735,0.089,-0.017,0.013
"463","Didi Gregorius",3000,-0.333,0.949,-0.36,-0.345,0.963,-3.643,2.613,6.256,0.088,-0.118,0.017
"464","Andrew McCutchen",3000,1.238,1.039,1.24,1.232,1.024,-2.027,5.672,7.699,0.088,0.078,0.019
"465","Marwin Gonzalez",3000,3.176,1.371,3.129,3.165,1.381,-1.499,8.476,9.976,0.088,0.083,0.025
"466","Chris Herrmann",3000,-0.5,0.682,-0.521,-0.506,0.647,-3.006,1.753,4.759,0.088,0.007,0.012
"467","Francisco Pena",3000,0.76,0.949,0.765,0.755,0.946,-2.459,4.363,6.821,0.088,0.119,0.017
"468","Pedro Severino",3000,-0.424,0.573,-0.441,-0.428,0.588,-2.208,1.776,3.984,0.088,-0.091,0.01
"469","Adam Eaton",3000,-0.466,0.786,-0.482,-0.471,0.756,-3.29,2.737,6.026,0.087,0.15,0.014
"470","Nolan Arenado",3000,3.063,1.334,3.064,3.054,1.325,-1.347,7.915,9.262,0.087,0.096,0.024
"471","Matt Carpenter",3000,3.694,1.299,3.694,3.682,1.322,-1.238,8.741,9.979,0.087,0.036,0.024
"472","Chris Owings",3000,-0.814,0.775,-0.834,-0.818,0.772,-3.366,2.81,6.176,0.087,0.134,0.014
"473","Dylan Cozens",3000,-0.349,0.661,-0.367,-0.354,0.674,-2.623,2.201,4.824,0.087,0.032,0.012
"474","Maikel Franco",3000,0.146,0.979,0.134,0.136,0.983,-3.42,3.737,7.157,0.086,0.093,0.018
"475","Josh Harrison",3000,-0.427,0.97,-0.448,-0.436,0.976,-3.995,2.694,6.688,0.086,-0.197,0.018
"476","Isaac Galloway",3000,-0.258,0.668,-0.275,-0.265,0.656,-2.617,2.294,4.91,0.086,0.024,0.012
"477","Miguel Sano",3000,3.597,1.289,3.578,3.587,1.278,-0.654,7.922,8.576,0.086,-0.062,0.024
"478","Gary Sanchez",3000,0.554,1.026,0.535,0.544,1.045,-2.478,4.184,6.662,0.086,-0.158,0.019
"479","A.J. Ellis",3000,-1.047,0.676,-1.06,-1.055,0.668,-3.603,1.195,4.798,0.085,0.06,0.012
"480","Jonathan Villar",3000,-0.199,0.972,-0.235,-0.206,0.938,-3.614,3.561,7.175,0.085,0.113,0.018
"481","Adam Moore",3000,-1.102,0.481,-1.107,-1.106,0.497,-2.667,0.6,3.267,0.085,-0.039,0.009
"482","Jorge Polanco",3000,1.522,1.23,1.54,1.514,1.22,-2.914,7.022,9.936,0.084,0.081,0.022
"483","Alex Bregman",3000,0.797,1.083,0.79,0.788,1.096,-2.431,4.513,6.944,0.083,-0.086,0.02
"484","Chad Pinder",3000,-0.738,0.761,-0.754,-0.744,0.765,-3.185,2.029,5.214,0.083,0.014,0.014
"485","Nick Williams",3000,-0.324,0.832,-0.35,-0.329,0.828,-2.893,2.525,5.418,0.083,-0.058,0.015
"486","Ronny Rodriguez",3000,-0.42,0.664,-0.445,-0.425,0.655,-2.527,1.763,4.29,0.083,-0.064,0.012
"487","Matt Kemp",3000,0.019,0.88,0.017,0.013,0.913,-2.882,3.012,5.894,0.082,-0.072,0.016
"488","Jake Cave",3000,-0.435,0.657,-0.444,-0.44,0.659,-2.629,2.399,5.028,0.082,0.078,0.012
"489","Tyler Naquin",3000,-0.676,0.601,-0.679,-0.681,0.6,-2.746,1.416,4.162,0.082,-0.066,0.011
"490","Addison Russell",3000,-0.557,0.854,-0.561,-0.561,0.83,-3.67,2.947,6.618,0.082,0.222,0.016
"491","Tyler Saladino",3000,-0.814,0.63,-0.835,-0.818,0.646,-2.797,1.607,4.404,0.082,-0.101,0.011
"492","Kole Calhoun",3000,1.302,1.134,1.303,1.294,1.128,-3.281,6.203,9.484,0.082,0.083,0.021
"493","Josh Donaldson",3000,3.47,1.223,3.452,3.461,1.21,-0.498,7.902,8.4,0.081,-0.043,0.022
"494","Evan Longoria",3000,1.576,1.157,1.547,1.568,1.134,-2.392,6.066,8.459,0.081,0.018,0.021
"495","Salvador Perez",3000,0.019,0.984,0.028,0.012,0.972,-3.336,4.009,7.345,0.081,0.083,0.018
"496","Jake Lamb",3000,1.027,1.049,1.02,1.017,1.072,-2.208,4.798,7.006,0.081,-0.153,0.019
"497","Ketel Marte",3000,-0.521,0.778,-0.523,-0.527,0.788,-3.613,2.089,5.701,0.08,-0.067,0.014
